common_name,scientific_name,country,habitat
Bellinger River Wattle,Acacia chrysotricha,Australia,water
,Acacia cincinnata,Australia,
,Acacia cineramis,Australia,
,Acacia citriodora,Australia,
,Acacia clandullensis,Australia,
,Acacia clelandii,Australia,
,Acacia clunies-rossiae,Australia,
bower wattle,Acacia cognata,Australia,water
,Acacia colei,Australia,
,Acacia colletioides,Australia,
,Acacia complanata,Australia,
,Acacia concurrens,Australia,
,Acacia conferta,Australia,
,Acacia confluens,Australia,
,Acacia conjunctifolia,Australia,
,Acacia conspersa,Australia,
,Acacia constablei,Australia,
thorn wattle,Acacia continua,Australia,
,Acacia convallium,Australia,
,Acacia coriacea subsp. coriacea,Australia,
,Acacia costiniana,Australia,
,Acacia courtii,Australia,
,Acacia covenyi,Australia,
,Acacia cowleana,Australia,
,Acacia crassa,Australia,
Thick-podded salwood,Acacia crassicarpa,Australia,
Thick-podded salwood,Acacia crassicarpa,Papua New Guinea,
,Acacia cremiflora,Australia,
,Acacia cretacea,Australia,
,Acacia cretata,Australia,
,Acacia crombiei,Australia,
knife acacia,Acacia cultriformis,Australia,
,Acacia cupularis,Australia,coastal
,Acacia curranii,Australia,
,Acacia cuthbertsonii,Australia,
coastal wattle,Acacia cyclops,Australia,coastal
,Acacia cyperophylla,Australia,
,Acacia dallachiana,Australia,
,Acacia dangarensis,Australia,
,Acacia daviesii,Australia,
,Acacia dawsonii,Australia,
Silver Wattle,Acacia dealbata,Australia,
Deane's wattle,Acacia deanei,Australia,
,Acacia debilis,Australia,
graceful wattle,Acacia decora,Australia,
green wattle,Acacia decurrens,Australia,
,Acacia delibrata,Australia,
,Acacia demissa,Australia,
,Acacia derwentiana,Australia,
,Acacia desmondii,Australia,
,Acacia deuteroneura,Australia,
,Acacia dichromotricha,Australia,
,Acacia dictyocarpa,Australia,
,Acacia dictyophleba,Australia,
,Acacia dietrichiana,Australia,
,Acacia difficilis,Australia,water
,Acacia dimidiata,Australia,water
,Acacia disparrima,Australia,
,Acacia dodonaeifolia,Australia,
,Acacia dolichophylla,Australia,
spearwood,Acacia doratoxylon,Australia,
,Acacia doreta,Australia,
,Acacia dorothea,Australia,
,Acacia drepanocarpa,Australia,
Drummond's wattle,Acacia drummondii,Australia,
,Acacia dunnii,Australia,
